  0.0000000E+00  0.5500000E+01  0.5600000E+01  0.5700000E+01  0.5800000E+01  0.5900000E+01  0.6000000E+01  0.6100000E+01  0.6200000E+01  0.6300000E+01  0.6400000E+01  0.6500000E+01  0.6600000E+01  0.6700000E+01  0.6800000E+01
  0.1085000E-01  0.1160714E+29  0.1563940E+29  0.2078917E+29  0.2737327E+29  0.3580645E+29  0.4663018E+29  0.6065668E+29  0.7862903E+29  0.1020161E+30  0.1321429E+30  0.1716590E+30  0.2229839E+30  0.2904378E+30  0.3798963E+30
  0.1628358E-01  0.1581886E+29  0.2190903E+29  0.2977657E+29  0.3989378E+29  0.5289514E+29  0.6954092E+29  0.9114085E+29  0.1188493E+30  0.1548418E+30  0.2013387E+30  0.2622157E+30  0.3414831E+30  0.4457879E+30  0.5847764E+30
  0.2171717E-01  0.1849898E+29  0.2633300E+29  0.3664169E+29  0.5001663E+29  0.6732469E+29  0.8965263E+29  0.1186035E+30  0.1558330E+30  0.2042814E+30  0.2669348E+30  0.3488059E+30  0.4556487E+30  0.5964773E+30  0.7839611E+30
  0.2715075E-01  0.2022796E+29  0.2953631E+29  0.4200161E+29  0.5843205E+29  0.7985097E+29  0.1076462E+30  0.1438508E+30  0.1905075E+30  0.2512395E+30  0.3300365E+30  0.4330688E+30  0.5675242E+30  0.7444889E+30  0.9809815E+30
  0.3258433E-01  0.2126387E+29  0.3178810E+29  0.4615972E+29  0.6536727E+29  0.9068903E+29  0.1237693E+30  0.1670655E+30  0.2230559E+30  0.2961125E+30  0.3908689E+30  0.5150618E+30  0.6770327E+30  0.8906471E+30  0.1175916E+31
  0.3801792E-01  0.2181764E+29  0.3334764E+29  0.4936395E+29  0.7111460E+29  0.1000871E+30  0.1382663E+30  0.1885787E+30  0.2537038E+30  0.3390618E+30  0.4497788E+30  0.5950846E+30  0.7847279E+30  0.1035261E+31  0.1369689E+31
  0.4345150E-01  0.2197148E+29  0.3430107E+29  0.5172490E+29  0.7575153E+29  0.1081175E+30  0.1511923E+30  0.2080896E+30  0.2822198E+30  0.3796740E+30  0.5063855E+30  0.6726950E+30  0.8900366E+30  0.1177098E+31  0.1560316E+31
  0.4888509E-01  0.2184688E+29  0.3479867E+29  0.5341772E+29  0.7946145E+29  0.1149779E+30  0.1626130E+30  0.2260528E+30  0.3092046E+30  0.4185459E+30  0.5611750E+30  0.7485941E+30  0.9937592E+30  0.1317452E+31  0.1750607E+31
  0.5431867E-01  0.2149446E+29  0.3491897E+29  0.5453227E+29  0.8234662E+29  0.1207184E+30  0.1727118E+30  0.2425074E+30  0.3342400E+30  0.4554160E+30  0.6137875E+30  0.8221998E+30  0.1094813E+31  0.1456123E+31  0.1938944E+31
  0.5975225E-01  0.2098578E+29  0.3476643E+29  0.5519407E+29  0.8456034E+29  0.1255853E+30  0.1816566E+30  0.2575068E+30  0.3576253E+30  0.4904919E+30  0.6645038E+30  0.8938326E+30  0.1194257E+31  0.1592756E+31  0.2125599E+31
  0.6518584E-01  0.2039088E+29  0.3443116E+29  0.5552979E+29  0.8625888E+29  0.1297390E+30  0.1896453E+30  0.2712690E+30  0.3796343E+30  0.5240033E+30  0.7135514E+30  0.9637098E+30  0.1292221E+31  0.1727507E+31  0.2310688E+31
  0.7061942E-01  0.1968448E+29  0.3386514E+29  0.5548403E+29  0.8735017E+29  0.1329816E+30  0.1965006E+30  0.2835884E+30  0.4000339E+30  0.5555987E+30  0.7605093E+30  0.1031322E+31  0.1387764E+31  0.1859985E+31  0.2493468E+31
