880 0.202 39 0.078 0.078
885 0.204 39 0.079 0.079
890 0.205 39 0.078 0.078
895 0.207 39 0.078 0.078
900 0.208 39 0.078 0.078
905 0.209 40 0.078 0.078
910 0.21 40 0.078 0.078
915 0.211 40 0.078 0.078
920 0.212 40 0.078 0.078
925 0.213 40 0.079 0.079
930 0.213 40 0.077 0.077
935 0.214 40 0.077 0.077
940 0.215 40 0.078 0.078
945 0.215 40 0.078 0.078
950 0.216 40 0.08 0.08
955 0.216 41 0.082 0.082
960 0.217 41 0.083 0.083
965 0.217 41 0.084 0.084
970 0.218 41 0.085 0.085
975 0.218 41 0.085 0.085
980 0.219 42 0.085 0.085
985 0.219 42 0.086 0.086
990 0.219 42 0.081 0.081
995 0.22 42 0.078 0.078
1000 0.22 43 0.077 0.077
1005 0.22 43 0.076 0.076
1010 0.221 43 0.075 0.075
1015 0.221 43 0.074 0.074
1020 0.222 43 0.075 0.075
1025 0.222 43 0.077 0.077
1030 0.222 44 0.078 0.078
1035 0.223 44 0.083 0.083
1040 0.223 44 0.084 0.084
1045 0.223 44 0.088 0.088
1050 0.224 44 0.088 0.088
1055 0.224 44 0.085 0.085
1060 0.224 44 0.085 0.085
1065 0.225 44 0.087 0.087
1070 0.225 44 0.087 0.087
1075 0.225 45 0.086 0.086
1080 0.226 46 0.088 0.088
1085 0.226 46 0.085 0.085
1090 0.226 46 0.083 0.083
1095 0.227 46 0.085 0.085
1100 0.227 45 0.096 0.096
1105 0.228 45 0.101 0.101
1110 0.228 45 0.101 0.101
1115 0.228 46 0.102 0.102
1120 0.229 46 0.104 0.104
1125 0.229 46 0.105 0.105
1130 0.229 45 0.106 0.106
1135 0.23 45 0.11 0.11
1140 0.23 46 0.113 0.113
1145 0.23 46 0.116 0.116
1150 0.231 46 0.119 0.119
1155 0.231 47 0.122 0.122
1160 0.231 46 0.122 0.122
1165 0.232 46 0.123 0.123
1170 0.232 46 0.126 0.126
1175 0.232 46 0.124 0.124
1180 0.233 46 0.117 0.117
1185 0.233 46 0.118 0.118
1190 0.233 46 0.129 0.129
1195 0.234 46 0.128 0.128
1200 0.234 46 0.131 0.131
1205 0.234 46 0.133 0.133
1210 0.234 46 0.133 0.133
1215 0.235 46 0.132 0.132
1220 0.235 46 0.132 0.132
1225 0.235 46 0.134 0.134
1230 0.235 46 0.134 0.134
1235 0.236 46 0.132 0.132
1240 0.236 46 0.13 0.13
1245 0.236 46 0.129 0.129
1250 0.236 46 0.127 0.127
1255 0.237 47 0.126 0.126
1260 0.237 47 0.127 0.127
1265 0.237 47 0.128 0.128
1270 0.238 47 0.129 0.129
1275 0.238 47 0.131 0.131
1280 0.238 48 0.133 0.133
1285 0.238 47 0.131 0.131
1290 0.239 47 0.13 0.13
1295 0.239 47 0.128 0.128
1300 0.239 47 0.126 0.126
1305 0.24 47 0.127 0.127
1310 0.24 47 0.126 0.126
1315 0.24 47 0.122 0.122
1320 0.241 47 0.115 0.115
1325 0.241 47 0.109 0.109
1330 0.242 47 0.107 0.107
1335 0.242 47 0.104 0.104
1340 0.243 47 0.101 0.101
1345 0.243 47 0.097 0.097
1350 0.244 47 0.09 0.09
1355 0.244 47 0.087 0.087
1360 0.245 47 0.087 0.087
1365 0.246 47 0.083 0.083
1370 0.247 47 0.082 0.082
1375 0.248 47 0.087 0.087
1380 0.249 47 0.092 0.092
1385 0.251 48 0.092 0.092
1390 0.253 48 0.092 0.092
1395 0.256 48 0.092 0.092
1400 0.259 48 0.093 0.093
1405 0.264 48 0.093 0.093
1410 0.272 49 0.084 0.084
1415 0.281 49 0.082 0.082
1420 0.293 50 0.08 0.08
1425 0.305 50 0.079 0.079
1430 0.317 50 0.08 0.08
1435 0.327 50 0.081 0.081
1440 0.335 50 0.08 0.08
1445 0.34 51 0.083 0.083
1450 0.345 51 0.093 0.093
1455 0.348 51 0.094 0.094
1460 0.351 52 0.088 0.088
1465 0.353 52 0.085 0.085
1470 0.355 52 0.084 0.084
