 Output of fluxint20 v.13.01.20
Input NS model file:  dipset01.dat
  KB LAT1 KBB KS  MT   KD thetam   M (MSun)     R (km)  B12(pole)  DeltaM/M   RgR    ZGRAV   GS14     FR      PR
   1  -1   1   1   6   1  0.7854    1.4000   12.6000  3.000E+00  0.000E+00  0.3282  0.2200  1.4284  1.3354  1.4709
lg Teff(inf):
            5.2000     5.3000     5.4000     5.5000     5.6000     5.7000
lg Teff(loc):
            5.2864     5.3864     5.4864     5.5864     5.6864     5.7864
lg Tint(loc):
            6.7442     6.9759     7.1883     7.3943     7.5948     7.7913
  -3.750  7.214E+13  6.912E+13  6.899E+13  9.117E+13  1.116E+14  1.506E+14
  -3.725  8.064E+13  7.737E+13  7.915E+13  1.001E+14  1.296E+14  1.652E+14
  -3.700  8.983E+13  8.625E+13  9.145E+13  1.121E+14  1.500E+14  1.783E+14
  -3.675  9.959E+13  9.626E+13  1.058E+14  1.288E+14  1.718E+14  1.921E+14
  -3.650  1.098E+14  1.078E+14  1.226E+14  1.487E+14  1.941E+14  2.118E+14
  -3.625  1.209E+14  1.212E+14  1.408E+14  1.683E+14  2.144E+14  2.389E+14
  -3.600  1.334E+14  1.364E+14  1.595E+14  1.853E+14  2.360E+14  2.723E+14
  -3.575  1.484E+14  1.535E+14  1.773E+14  2.027E+14  2.619E+14  3.128E+14
  -3.550  1.678E+14  1.725E+14  1.931E+14  2.274E+14  2.951E+14  3.598E+14
  -3.525  1.911E+14  1.944E+14  2.103E+14  2.596E+14  3.295E+14  4.059E+14
  -3.500  2.180E+14  2.196E+14  2.334E+14  2.964E+14  3.657E+14  4.624E+14
  -3.475  2.482E+14  2.470E+14  2.647E+14  3.343E+14  4.078E+14  5.212E+14
  -3.450  2.808E+14  2.750E+14  3.015E+14  3.748E+14  4.605E+14  5.696E+14
  -3.425  3.145E+14  3.029E+14  3.393E+14  4.172E+14  5.193E+14  6.183E+14
  -3.400  3.485E+14  3.339E+14  3.798E+14  4.640E+14  5.763E+14  6.964E+14
  -3.375  3.858E+14  3.781E+14  4.222E+14  5.231E+14  6.515E+14  7.979E+14
  -3.350  4.310E+14  4.336E+14  4.730E+14  5.955E+14  7.431E+14  8.958E+14
  -3.325  4.871E+14  4.906E+14  5.392E+14  6.639E+14  8.314E+14  9.905E+14
  -3.300  5.487E+14  5.450E+14  6.032E+14  7.336E+14  9.225E+14  1.099E+15
  -3.275  6.125E+14  6.097E+14  6.697E+14  8.277E+14  1.020E+15  1.241E+15
  -3.250  6.847E+14  6.859E+14  7.550E+14  9.403E+14  1.151E+15  1.416E+15
  -3.225  7.716E+14  7.695E+14  8.645E+14  1.056E+15  1.297E+15  1.594E+15
  -3.200  8.665E+14  8.641E+14  9.705E+14  1.179E+15  1.433E+15  1.782E+15
  -3.175  9.663E+14  9.807E+14  1.090E+15  1.321E+15  1.621E+15  2.005E+15
  -3.150  1.086E+15  1.109E+15  1.228E+15  1.493E+15  1.831E+15  2.240E+15
  -3.125  1.220E+15  1.237E+15  1.375E+15  1.679E+15  2.050E+15  2.507E+15
  -3.100  1.361E+15  1.390E+15  1.563E+15  1.892E+15  2.283E+15  2.844E+15
  -3.075  1.530E+15  1.571E+15  1.764E+15  2.145E+15  2.545E+15  3.162E+15
