 Output of fluxint20 v.13.01.20
Input NS model file:  dipset01.dat
  KB LAT1 KBB KS  MT   KD thetam   M (MSun)     R (km)  B12(pole)  DeltaM/M   RgR    ZGRAV   GS14     FR      PR
   1  -1   1   1   6   1  1.3090    1.4000   12.6000  3.000E+00  0.000E+00  0.3282  0.2200  1.4284  1.3354  1.4709
lg Teff(inf):
            5.2000     5.3000     5.4000     5.5000     5.6000     5.7000
lg Teff(loc):
            5.2864     5.3864     5.4864     5.5864     5.6864     5.7864
lg Tint(loc):
            6.7442     6.9759     7.1883     7.3943     7.5948     7.7913
  -3.750  6.999E+13  6.588E+13  6.694E+13  8.754E+13  1.048E+14  1.416E+14
  -3.725  7.825E+13  7.383E+13  7.667E+13  9.540E+13  1.214E+14  1.558E+14
  -3.700  8.723E+13  8.243E+13  8.745E+13  1.054E+14  1.419E+14  1.683E+14
  -3.675  9.686E+13  9.184E+13  1.004E+14  1.210E+14  1.638E+14  1.814E+14
  -3.650  1.070E+14  1.021E+14  1.168E+14  1.421E+14  1.854E+14  2.028E+14
  -3.625  1.181E+14  1.135E+14  1.350E+14  1.633E+14  2.048E+14  2.293E+14
  -3.600  1.302E+14  1.266E+14  1.532E+14  1.797E+14  2.251E+14  2.573E+14
  -3.575  1.440E+14  1.431E+14  1.701E+14  1.954E+14  2.505E+14  2.924E+14
  -3.550  1.608E+14  1.635E+14  1.847E+14  2.165E+14  2.837E+14  3.357E+14
  -3.525  1.826E+14  1.860E+14  1.989E+14  2.494E+14  3.155E+14  3.810E+14
  -3.500  2.098E+14  2.101E+14  2.210E+14  2.859E+14  3.461E+14  4.350E+14
  -3.475  2.410E+14  2.359E+14  2.532E+14  3.190E+14  3.839E+14  4.898E+14
  -3.450  2.732E+14  2.622E+14  2.869E+14  3.553E+14  4.340E+14  5.365E+14
  -3.425  3.062E+14  2.875E+14  3.227E+14  3.965E+14  4.903E+14  5.850E+14
  -3.400  3.389E+14  3.128E+14  3.630E+14  4.454E+14  5.416E+14  6.574E+14
  -3.375  3.729E+14  3.542E+14  4.031E+14  5.043E+14  6.135E+14  7.457E+14
