 Output of fluxint20 v.13.01.20
Input NS model file:  dipset01.dat
  KB LAT1 KBB KS  MT   KD thetam   M (MSun)     R (km)  B12(pole)  DeltaM/M   RgR    ZGRAV   GS14     FR      PR
   1  -1   1   1   6   1  1.0472    1.4000   12.6000  3.000E+00  0.000E+00  0.3282  0.2200  1.4284  1.3354  1.4709
lg Teff(inf):
            5.2000     5.3000     5.4000     5.5000     5.6000     5.7000
lg Teff(loc):
            5.2864     5.3864     5.4864     5.5864     5.6864     5.7864
lg Tint(loc):
            6.7442     6.9759     7.1883     7.3943     7.5948     7.7913
  -3.750  7.096E+13  6.761E+13  6.797E+13  8.935E+13  1.081E+14  1.451E+14
  -3.725  7.935E+13  7.573E+13  7.791E+13  9.744E+13  1.249E+14  1.595E+14
  -3.700  8.845E+13  8.438E+13  8.938E+13  1.076E+14  1.448E+14  1.725E+14
  -3.675  9.814E+13  9.386E+13  1.029E+14  1.231E+14  1.665E+14  1.857E+14
  -3.650  1.083E+14  1.045E+14  1.193E+14  1.435E+14  1.885E+14  2.068E+14
  -3.625  1.192E+14  1.167E+14  1.372E+14  1.643E+14  2.085E+14  2.344E+14
  -3.600  1.313E+14  1.309E+14  1.554E+14  1.813E+14  2.291E+14  2.646E+14
  -3.575  1.454E+14  1.478E+14  1.727E+14  1.980E+14  2.537E+14  3.005E+14
  -3.550  1.635E+14  1.674E+14  1.880E+14  2.209E+14  2.871E+14  3.437E+14
  -3.525  1.860E+14  1.897E+14  2.043E+14  2.541E+14  3.217E+14  3.904E+14
  -3.500  2.130E+14  2.147E+14  2.274E+14  2.913E+14  3.562E+14  4.461E+14
  -3.475  2.441E+14  2.416E+14  2.594E+14  3.261E+14  3.956E+14  5.020E+14
  -3.450  2.768E+14  2.690E+14  2.943E+14  3.626E+14  4.452E+14  5.499E+14
  -3.425  3.100E+14  2.953E+14  3.305E+14  4.027E+14  5.012E+14  5.987E+14
  -3.400  3.431E+14  3.232E+14  3.707E+14  4.513E+14  5.558E+14  6.750E+14
  -3.375  3.783E+14  3.658E+14  4.120E+14  5.126E+14  6.311E+14  7.689E+14
  -3.350  4.210E+14  4.222E+14  4.599E+14  5.819E+14  7.215E+14  8.604E+14
  -3.325  4.776E+14  4.782E+14  5.243E+14  6.432E+14  8.035E+14  9.520E+14
  -3.300  5.397E+14  5.299E+14  5.855E+14  7.076E+14  8.937E+14  1.056E+15
  -3.275  6.016E+14  5.928E+14  6.492E+14  8.043E+14  9.944E+14  1.198E+15
  -3.250  6.717E+14  6.675E+14  7.329E+14  9.173E+14  1.120E+15  1.367E+15
  -3.225  7.579E+14  7.489E+14  8.367E+14  1.026E+15  1.252E+15  1.536E+15
  -3.200  8.499E+14  8.407E+14  9.348E+14  1.146E+15  1.382E+15  1.725E+15
  -3.175  9.450E+14  9.537E+14  1.056E+15  1.289E+15  1.571E+15  1.934E+15
  -3.150  1.064E+15  1.076E+15  1.186E+15  1.452E+15  1.772E+15  2.157E+15
  -3.125  1.196E+15  1.198E+15  1.329E+15  1.624E+15  1.982E+15  2.423E+15
  -3.100  1.331E+15  1.345E+15  1.519E+15  1.825E+15  2.217E+15  2.749E+15
  -3.075  1.495E+15  1.523E+15  1.713E+15  2.081E+15  2.482E+15  3.067E+15
  -3.050  1.694E+15  1.712E+15  1.897E+15  2.313E+15  2.759E+15  3.361E+15
  -3.025  1.901E+15  1.939E+15  2.111E+15  2.591E+15  3.085E+15  3.643E+15
  -3.000  2.128E+15  2.200E+15  2.367E+15  2.922E+15  3.501E+15  3.982E+15
  -2.975  2.387E+15  2.486E+15  2.672E+15  3.308E+15  4.001E+15  4.441E+15
  -2.950  2.682E+15  2.794E+15  3.018E+15  3.756E+15  4.553E+15  5.058E+15
  -2.925  3.013E+15  3.145E+15  3.399E+15  4.263E+15  5.130E+15  5.818E+15
  -2.900  3.407E+15  3.554E+15  3.812E+15  4.831E+15  5.758E+15  6.709E+15
  -2.875  3.852E+15  4.028E+15  4.296E+15  5.454E+15  6.440E+15  7.718E+15
  -2.850  4.334E+15  4.564E+15  4.861E+15  6.128E+15  7.170E+15  8.834E+15
  -2.825  4.856E+15  5.163E+15  5.517E+15  6.879E+15  7.999E+15  1.003E+16
  -2.800  5.448E+15  5.820E+15  6.265E+15  7.769E+15  8.967E+15  1.131E+16
  -2.775  6.132E+15  6.543E+15  7.122E+15  8.782E+15  1.012E+16  1.272E+16
  -2.750  6.893E+15  7.370E+15  8.092E+15  9.914E+15  1.147E+16  1.432E+16
  -2.725  7.725E+15  8.314E+15  9.176E+15  1.118E+16  1.301E+16  1.619E+16
  -2.700  8.646E+15  9.366E+15  1.039E+16  1.261E+16  1.473E+16  1.839E+16
  -2.675  9.708E+15  1.054E+16  1.180E+16  1.421E+16  1.666E+16  2.101E+16
  -2.650  1.092E+16  1.187E+16  1.340E+16  1.600E+16  1.884E+16  2.401E+16
  -2.625  1.230E+16  1.337E+16  1.517E+16  1.800E+16  2.134E+16  2.725E+16
  -2.600  1.384E+16  1.508E+16  1.715E+16  2.027E+16  2.423E+16  3.062E+16
  -2.575  1.555E+16  1.704E+16  1.936E+16  2.287E+16  2.762E+16  3.422E+16
  -2.550  1.750E+16  1.925E+16  2.185E+16  2.586E+16  3.152E+16  3.817E+16
  -2.525  1.971E+16  2.173E+16  2.463E+16  2.931E+16  3.581E+16  4.264E+16
  -2.500  2.217E+16  2.448E+16  2.778E+16  3.325E+16  4.024E+16  4.774E+16
  -2.475  2.492E+16  2.754E+16  3.138E+16  3.772E+16  4.500E+16  5.355E+16
  -2.450  2.799E+16  3.098E+16  3.547E+16  4.272E+16  5.031E+16  6.013E+16
  -2.425  3.144E+16  3.492E+16  4.010E+16  4.811E+16  5.633E+16  6.751E+16
  -2.400  3.534E+16  3.937E+16  4.530E+16  5.379E+16  6.311E+16  7.571E+16
  -2.375  3.973E+16  4.437E+16  5.111E+16  6.004E+16  7.068E+16  8.478E+16
  -2.350  4.465E+16  4.997E+16  5.754E+16  6.706E+16  7.914E+16  9.478E+16
  -2.325  5.014E+16  5.627E+16  6.459E+16  7.487E+16  8.858E+16  1.058E+17
  -2.300  5.631E+16  6.337E+16  7.221E+16  8.364E+16  9.877E+16  1.174E+17
  -2.275  6.322E+16  7.129E+16  8.056E+16  9.337E+16  1.096E+17  1.303E+17
  -2.250  7.095E+16  7.986E+16  8.981E+16  1.039E+17  1.215E+17  1.445E+17
  -2.225  7.956E+16  8.898E+16  1.000E+17  1.151E+17  1.347E+17  1.602E+17
  -2.200  8.910E+16  9.869E+16  1.111E+17  1.274E+17  1.493E+17  1.775E+17
  -2.175  9.948E+16  1.092E+17  1.227E+17  1.410E+17  1.652E+17  1.963E+17
  -2.150  1.105E+17  1.207E+17  1.355E+17  1.559E+17  1.825E+17  2.169E+17
  -2.125  1.212E+17  1.324E+17  1.487E+17  1.712E+17  2.006E+17  2.386E+17
  -2.100  1.323E+17  1.448E+17  1.628E+17  1.876E+17  2.199E+17  2.619E+17
  -2.075  1.450E+17  1.589E+17  1.789E+17  2.062E+17  2.417E+17  2.881E+17
  -2.050  1.581E+17  1.733E+17  1.953E+17  2.252E+17  2.642E+17  3.156E+17
  -2.025  1.715E+17  1.880E+17  2.120E+17  2.446E+17  2.876E+17  3.446E+17
  -2.000  1.855E+17  2.033E+17  2.294E+17  2.648E+17  3.123E+17  3.757E+17
  -1.975  2.001E+17  2.193E+17  2.475E+17  2.858E+17  3.384E+17  4.086E+17
