 Output of fluxint20 v.13.01.20
Input NS model file:  dipset02.dat
  KB LAT1 KBB KS  MT   KD thetam   M (MSun)     R (km)  B12(pole)  DeltaM/M   RgR    ZGRAV   GS14     FR      PR
   1  -1   1   1   6   1  1.3090    2.0000   11.4300  3.000E+00  0.000E+00  0.5169  0.4385  2.9241  1.6731  1.9894
lg Teff(inf):
            5.2000     5.3000     5.4000     5.5000     5.6000     5.7000
lg Teff(loc):
            5.3579     5.4579     5.5579     5.6579     5.7579     5.8579
lg Tint(loc):
            6.8155     7.0468     7.2583     7.4634     7.6636     7.8598
  -3.075  1.633E+15  1.927E+15  2.272E+15  2.681E+15  3.264E+15  4.125E+15
  -3.050  1.852E+15  2.168E+15  2.559E+15  2.982E+15  3.691E+15  4.637E+15
  -3.025  2.096E+15  2.389E+15  2.845E+15  3.401E+15  4.122E+15  5.141E+15
  -3.000  2.313E+15  2.641E+15  3.106E+15  3.820E+15  4.506E+15  5.676E+15
  -2.975  2.546E+15  2.922E+15  3.423E+15  4.243E+15  4.952E+15  6.398E+15
  -2.950  2.854E+15  3.249E+15  3.886E+15  4.711E+15  5.695E+15  7.225E+15
  -2.925  3.220E+15  3.665E+15  4.377E+15  5.277E+15  6.453E+15  7.990E+15
  -2.900  3.635E+15  4.170E+15  4.876E+15  5.931E+15  7.177E+15  8.727E+15
  -2.875  4.138E+15  4.733E+15  5.417E+15  6.615E+15  7.993E+15  9.584E+15
  -2.850  4.693E+15  5.351E+15  6.033E+15  7.336E+15  8.948E+15  1.066E+16
  -2.825  5.264E+15  6.029E+15  6.779E+15  8.204E+15  1.005E+16  1.202E+16
  -2.800  5.845E+15  6.766E+15  7.715E+15  9.276E+15  1.123E+16  1.344E+16
  -2.775  6.494E+15  7.569E+15  8.812E+15  1.049E+16  1.251E+16  1.490E+16
  -2.750  7.257E+15  8.435E+15  9.959E+15  1.175E+16  1.399E+16  1.653E+16
  -2.725  8.167E+15  9.379E+15  1.114E+16  1.322E+16  1.573E+16  1.848E+16
  -2.700  9.230E+15  1.048E+16  1.240E+16  1.479E+16  1.772E+16  2.093E+16
  -2.675  1.042E+16  1.178E+16  1.380E+16  1.643E+16  1.990E+16  2.389E+16
  -2.650  1.171E+16  1.331E+16  1.547E+16  1.824E+16  2.226E+16  2.729E+16
  -2.625  1.314E+16  1.504E+16  1.741E+16  2.036E+16  2.490E+16  3.075E+16
  -2.600  1.474E+16  1.692E+16  1.953E+16  2.299E+16  2.797E+16  3.425E+16
  -2.575  1.655E+16  1.893E+16  2.185E+16  2.610E+16  3.153E+16  3.806E+16
  -2.550  1.857E+16  2.112E+16  2.445E+16  2.948E+16  3.553E+16  4.241E+16
  -2.525  2.083E+16  2.362E+16  2.755E+16  3.311E+16  3.987E+16  4.738E+16
  -2.500  2.338E+16  2.654E+16  3.115E+16  3.718E+16  4.448E+16  5.310E+16
  -2.475  2.628E+16  2.987E+16  3.510E+16  4.194E+16  4.960E+16  5.957E+16
  -2.450  2.957E+16  3.360E+16  3.938E+16  4.720E+16  5.538E+16  6.684E+16
  -2.425  3.323E+16  3.775E+16  4.411E+16  5.284E+16  6.186E+16  7.497E+16
  -2.400  3.729E+16  4.241E+16  4.955E+16  5.883E+16  6.916E+16  8.411E+16
  -2.375  4.182E+16  4.768E+16  5.585E+16  6.530E+16  7.744E+16  9.441E+16
  -2.350  4.692E+16  5.358E+16  6.283E+16  7.262E+16  8.686E+16  1.058E+17
  -2.325  5.265E+16  6.020E+16  7.034E+16  8.118E+16  9.734E+16  1.180E+17
  -2.300  5.908E+16  6.759E+16  7.847E+16  9.105E+16  1.090E+17  1.311E+17
  -2.275  6.633E+16  7.579E+16  8.740E+16  1.021E+17  1.212E+17  1.456E+17
  -2.250  7.450E+16  8.487E+16  9.735E+16  1.140E+17  1.345E+17  1.618E+17
  -2.225  8.362E+16  9.477E+16  1.085E+17  1.264E+17  1.494E+17  1.797E+17
  -2.200  9.366E+16  1.055E+17  1.206E+17  1.401E+17  1.658E+17  1.994E+17
  -2.175  1.044E+17  1.171E+17  1.335E+17  1.553E+17  1.837E+17  2.208E+17
