 Output of fluxint20 v.13.01.20
Input NS model file:  dipset02.dat
  KB LAT1 KBB KS  MT   KD thetam   M (MSun)     R (km)  B12(pole)  DeltaM/M   RgR    ZGRAV   GS14     FR      PR
   1  -1   1   1   6   1  1.0472    2.0000   11.4300  3.000E+00  0.000E+00  0.5169  0.4385  2.9241  1.6731  1.9894
lg Teff(inf):
            5.2000     5.3000     5.4000     5.5000     5.6000     5.7000
lg Teff(loc):
            5.3579     5.4579     5.5579     5.6579     5.7579     5.8579
lg Tint(loc):
            6.8155     7.0468     7.2583     7.4634     7.6636     7.8598
  -3.075  1.633E+15  1.909E+15  2.245E+15  2.659E+15  3.220E+15  4.078E+15
  -3.050  1.847E+15  2.151E+15  2.533E+15  2.952E+15  3.638E+15  4.573E+15
  -3.025  2.087E+15  2.377E+15  2.820E+15  3.355E+15  4.071E+15  5.084E+15
  -3.000  2.308E+15  2.637E+15  3.084E+15  3.768E+15  4.458E+15  5.612E+15
  -2.975  2.546E+15  2.925E+15  3.406E+15  4.194E+15  4.905E+15  6.303E+15
  -2.950  2.853E+15  3.249E+15  3.844E+15  4.670E+15  5.610E+15  7.111E+15
  -2.925  3.220E+15  3.665E+15  4.316E+15  5.237E+15  6.359E+15  7.884E+15
  -2.900  3.636E+15  4.171E+15  4.812E+15  5.884E+15  7.098E+15  8.641E+15
  -2.875  4.135E+15  4.726E+15  5.361E+15  6.569E+15  7.928E+15  9.538E+15
  -2.850  4.687E+15  5.331E+15  6.000E+15  7.313E+15  8.880E+15  1.062E+16
  -2.825  5.255E+15  6.001E+15  6.782E+15  8.201E+15  9.960E+15  1.192E+16
  -2.800  5.833E+15  6.734E+15  7.725E+15  9.268E+15  1.114E+16  1.327E+16
  -2.775  6.485E+15  7.540E+15  8.787E+15  1.045E+16  1.246E+16  1.470E+16
  -2.750  7.258E+15  8.419E+15  9.905E+15  1.171E+16  1.396E+16  1.635E+16
  -2.725  8.174E+15  9.383E+15  1.108E+16  1.315E+16  1.570E+16  1.833E+16
  -2.700  9.240E+15  1.049E+16  1.236E+16  1.469E+16  1.766E+16  2.080E+16
  -2.675  1.043E+16  1.178E+16  1.380E+16  1.634E+16  1.979E+16  2.377E+16
  -2.650  1.171E+16  1.331E+16  1.549E+16  1.820E+16  2.214E+16  2.711E+16
  -2.625  1.313E+16  1.504E+16  1.741E+16  2.038E+16  2.479E+16  3.066E+16
  -2.600  1.474E+16  1.692E+16  1.948E+16  2.300E+16  2.790E+16  3.426E+16
  -2.575  1.655E+16  1.892E+16  2.179E+16  2.602E+16  3.149E+16  3.812E+16
  -2.550  1.859E+16  2.111E+16  2.444E+16  2.936E+16  3.552E+16  4.247E+16
  -2.525  2.086E+16  2.362E+16  2.758E+16  3.305E+16  3.993E+16  4.743E+16
  -2.500  2.341E+16  2.657E+16  3.119E+16  3.722E+16  4.457E+16  5.311E+16
  -2.475  2.630E+16  2.991E+16  3.512E+16  4.203E+16  4.961E+16  5.954E+16
  -2.450  2.958E+16  3.365E+16  3.939E+16  4.734E+16  5.531E+16  6.677E+16
  -2.425  3.325E+16  3.781E+16  4.416E+16  5.298E+16  6.179E+16  7.490E+16
  -2.400  3.733E+16  4.248E+16  4.968E+16  5.887E+16  6.916E+16  8.408E+16
  -2.375  4.188E+16  4.776E+16  5.602E+16  6.534E+16  7.754E+16  9.448E+16
  -2.350  4.700E+16  5.367E+16  6.303E+16  7.273E+16  8.706E+16  1.061E+17
  -2.325  5.274E+16  6.031E+16  7.052E+16  8.139E+16  9.770E+16  1.185E+17
  -2.300  5.919E+16  6.776E+16  7.865E+16  9.134E+16  1.095E+17  1.316E+17
  -2.275  6.646E+16  7.604E+16  8.766E+16  1.024E+17  1.217E+17  1.461E+17
  -2.250  7.470E+16  8.521E+16  9.770E+16  1.143E+17  1.350E+17  1.624E+17
  -2.225  8.389E+16  9.522E+16  1.090E+17  1.269E+17  1.500E+17  1.804E+17
  -2.200  9.404E+16  1.060E+17  1.212E+17  1.407E+17  1.665E+17  2.002E+17
  -2.175  1.050E+17  1.178E+17  1.340E+17  1.560E+17  1.845E+17  2.218E+17
  -2.150  1.167E+17  1.305E+17  1.485E+17  1.728E+17  2.043E+17  2.455E+17
  -2.125  1.292E+17  1.444E+17  1.642E+17  1.910E+17  2.258E+17  2.714E+17
  -2.100  1.426E+17  1.593E+17  1.813E+17  2.108E+17  2.491E+17  2.995E+17
  -2.075  1.568E+17  1.752E+17  1.994E+17  2.319E+17  2.736E+17  3.294E+17
  -2.050  1.713E+17  1.915E+17  2.181E+17  2.537E+17  3.004E+17  3.621E+17
  -2.025  1.861E+17  2.082E+17  2.372E+17  2.762E+17  3.283E+17  3.967E+17
  -2.000  2.013E+17  2.253E+17  2.568E+17  2.995E+17  3.576E+17  4.335E+17
  -1.975  2.174E+17  2.441E+17  2.782E+17  3.249E+17  3.895E+17  4.737E+17
  -1.950  2.337E+17  2.634E+17  3.000E+17  3.512E+17  4.229E+17  5.163E+17
  -1.925  2.450E+17  2.772E+17  3.159E+17  3.710E+17  4.485E+17  5.499E+17
  -1.900  2.603E+17  2.949E+17  3.359E+17  3.965E+17  4.815E+17  5.938E+17
  -1.875  2.792E+17  3.153E+17  3.604E+17  4.277E+17  5.227E+17  6.467E+17
  -1.850  2.993E+17  3.368E+17  3.880E+17  4.633E+17  5.708E+17  7.083E+17
  -1.825  3.205E+17  3.600E+17  4.169E+17  5.017E+17  6.241E+17  7.784E+17
  -1.800  3.484E+17  3.921E+17  4.511E+17  5.465E+17  6.852E+17  8.587E+17
  -1.775  3.788E+17  4.271E+17  4.929E+17  5.999E+17  7.562E+17  9.513E+17
  -1.750  4.103E+17  4.641E+17  5.382E+17  6.590E+17  8.351E+17  1.055E+18
  -1.725  4.486E+17  5.104E+17  5.957E+17  7.341E+17  9.361E+17  1.190E+18
  -1.700  4.972E+17  5.701E+17  6.712E+17  8.333E+17  1.069E+18  1.367E+18
  -1.675  5.333E+17  6.156E+17  7.312E+17  9.166E+17  1.185E+18  1.524E+18
  -1.650  5.677E+17  6.590E+17  7.894E+17  1.001E+18  1.306E+18  1.691E+18
  -1.625  6.000E+17  7.003E+17  8.460E+17  1.085E+18  1.431E+18  1.867E+18
  -1.600  6.329E+17  7.430E+17  9.058E+17  1.177E+18  1.570E+18  2.063E+18
  -1.575  6.697E+17  7.929E+17  9.755E+17  1.284E+18  1.728E+18  2.286E+18
  -1.550  7.033E+17  8.416E+17  1.045E+18  1.394E+18  1.894E+18  2.526E+18
  -1.525  7.316E+17  8.863E+17  1.114E+18  1.506E+18  2.070E+18  2.783E+18
  -1.500  7.548E+17  9.261E+17  1.176E+18  1.615E+18  2.248E+18  3.051E+18
  -1.475  7.820E+17  9.698E+17  1.247E+18  1.740E+18  2.443E+18  3.347E+18
  -1.450  8.239E+17  1.027E+18  1.338E+18  1.892E+18  2.684E+18  3.690E+18
  -1.425  8.572E+17  1.080E+18  1.426E+18  2.044E+18  2.934E+18  4.057E+18
  -1.400  8.792E+17  1.126E+18  1.510E+18  2.198E+18  3.193E+18  4.451E+18
  -1.375  8.834E+17  1.154E+18  1.581E+18  2.346E+18  3.457E+18  4.870E+18
  -1.350  8.616E+17  1.152E+18  1.611E+18  2.456E+18  3.696E+18  5.285E+18
  -1.325  8.090E+17  1.105E+18  1.576E+18  2.494E+18  3.870E+18  5.656E+18
  -1.300  7.405E+17  1.035E+18  1.509E+18  2.494E+18  4.015E+18  6.022E+18
