 Output of fluxint20 v.13.01.20
Input NS model file:  dipset02.dat
  KB LAT1 KBB KS  MT   KD thetam   M (MSun)     R (km)  B12(pole)  DeltaM/M   RgR    ZGRAV   GS14     FR      PR
   1  -1   1   1   6   1  0.2618    2.0000   11.4300  3.000E+00  0.000E+00  0.5169  0.4385  2.9241  1.6731  1.9894
lg Teff(inf):
            5.2000     5.3000     5.4000     5.5000     5.6000     5.7000
lg Teff(loc):
            5.3579     5.4579     5.5579     5.6579     5.7579     5.8579
lg Tint(loc):
            6.8155     7.0468     7.2583     7.4634     7.6636     7.8598
  -3.075  1.715E+15  1.994E+15  2.388E+15  2.863E+15  3.411E+15  4.402E+15
  -3.050  1.927E+15  2.255E+15  2.706E+15  3.196E+15  3.832E+15  4.927E+15
  -3.025  2.179E+15  2.496E+15  2.987E+15  3.572E+15  4.300E+15  5.414E+15
  -3.000  2.394E+15  2.777E+15  3.264E+15  3.952E+15  4.757E+15  5.988E+15
  -2.975  2.627E+15  3.076E+15  3.618E+15  4.382E+15  5.278E+15  6.767E+15
  -2.950  2.957E+15  3.407E+15  4.029E+15  4.930E+15  5.992E+15  7.568E+15
  -2.925  3.347E+15  3.849E+15  4.430E+15  5.588E+15  6.690E+15  8.295E+15
  -2.900  3.772E+15  4.368E+15  4.870E+15  6.302E+15  7.407E+15  9.115E+15
  -2.875  4.289E+15  4.899E+15  5.443E+15  7.058E+15  8.300E+15  1.022E+16
  -2.850  4.852E+15  5.487E+15  6.200E+15  7.876E+15  9.403E+15  1.145E+16
  -2.825  5.406E+15  6.182E+15  7.124E+15  8.796E+15  1.060E+16  1.269E+16
  -2.800  5.963E+15  6.956E+15  8.133E+15  9.885E+15  1.190E+16  1.391E+16
  -2.775  6.631E+15  7.782E+15  9.172E+15  1.113E+16  1.341E+16  1.518E+16
  -2.750  7.456E+15  8.656E+15  1.023E+16  1.244E+16  1.504E+16  1.667E+16
  -2.725  8.432E+15  9.623E+15  1.138E+16  1.375E+16  1.684E+16  1.865E+16
  -2.700  9.532E+15  1.075E+16  1.274E+16  1.512E+16  1.879E+16  2.132E+16
