 Output of fluxint20 v.13.01.20
Input NS model file:  dipset02.dat
  KB LAT1 KBB KS  MT   KD thetam   M (MSun)     R (km)  B12(pole)  DeltaM/M   RgR    ZGRAV   GS14     FR      PR
   1  -1   1   1   6   1  0.5236    2.0000   11.4300  3.000E+00  0.000E+00  0.5169  0.4385  2.9241  1.6731  1.9894
lg Teff(inf):
            5.2000     5.3000     5.4000     5.5000     5.6000     5.7000
lg Teff(loc):
            5.3579     5.4579     5.5579     5.6579     5.7579     5.8579
lg Tint(loc):
            6.8155     7.0468     7.2583     7.4634     7.6636     7.8598
  -3.075  1.674E+15  1.947E+15  2.314E+15  2.773E+15  3.300E+15  4.253E+15
  -3.050  1.887E+15  2.204E+15  2.620E+15  3.082E+15  3.717E+15  4.745E+15
  -3.025  2.132E+15  2.435E+15  2.903E+15  3.453E+15  4.187E+15  5.252E+15
  -3.000  2.348E+15  2.707E+15  3.172E+15  3.844E+15  4.613E+15  5.808E+15
  -2.975  2.582E+15  3.004E+15  3.512E+15  4.278E+15  5.109E+15  6.559E+15
  -2.950  2.902E+15  3.327E+15  3.919E+15  4.801E+15  5.788E+15  7.340E+15
  -2.925  3.283E+15  3.756E+15  4.337E+15  5.424E+15  6.479E+15  8.065E+15
  -2.900  3.702E+15  4.273E+15  4.799E+15  6.107E+15  7.221E+15  8.856E+15
  -2.875  4.211E+15  4.814E+15  5.363E+15  6.824E+15  8.118E+15  9.902E+15
  -2.850  4.771E+15  5.405E+15  6.078E+15  7.612E+15  9.159E+15  1.110E+16
  -2.825  5.330E+15  6.082E+15  6.958E+15  8.534E+15  1.030E+16  1.234E+16
  -2.800  5.885E+15  6.830E+15  7.947E+15  9.619E+15  1.155E+16  1.354E+16
  -2.775  6.537E+15  7.649E+15  8.978E+15  1.082E+16  1.297E+16  1.481E+16
  -2.750  7.339E+15  8.535E+15  1.004E+16  1.209E+16  1.456E+16  1.636E+16
  -2.725  8.299E+15  9.508E+15  1.121E+16  1.343E+16  1.634E+16  1.839E+16
  -2.700  9.392E+15  1.063E+16  1.254E+16  1.486E+16  1.827E+16  2.103E+16
  -2.675  1.058E+16  1.194E+16  1.407E+16  1.652E+16  2.029E+16  2.419E+16
  -2.650  1.184E+16  1.350E+16  1.581E+16  1.848E+16  2.251E+16  2.766E+16
  -2.625  1.324E+16  1.525E+16  1.764E+16  2.081E+16  2.512E+16  3.138E+16
  -2.600  1.487E+16  1.711E+16  1.962E+16  2.353E+16  2.834E+16  3.526E+16
  -2.575  1.673E+16  1.910E+16  2.192E+16  2.654E+16  3.220E+16  3.928E+16
  -2.550  1.881E+16  2.127E+16  2.470E+16  2.979E+16  3.655E+16  4.353E+16
  -2.525  2.110E+16  2.381E+16  2.803E+16  3.347E+16  4.109E+16  4.830E+16
  -2.500  2.366E+16  2.683E+16  3.175E+16  3.787E+16  4.567E+16  5.386E+16
  -2.475  2.655E+16  3.024E+16  3.566E+16  4.308E+16  5.041E+16  6.025E+16
  -2.450  2.986E+16  3.403E+16  3.991E+16  4.860E+16  5.585E+16  6.756E+16
  -2.425  3.358E+16  3.825E+16  4.475E+16  5.412E+16  6.238E+16  7.587E+16
  -2.400  3.771E+16  4.300E+16  5.044E+16  5.972E+16  7.003E+16  8.530E+16
  -2.375  4.233E+16  4.834E+16  5.701E+16  6.605E+16  7.880E+16  9.599E+16
  -2.350  4.752E+16  5.430E+16  6.418E+16  7.364E+16  8.870E+16  1.079E+17
  -2.325  5.333E+16  6.102E+16  7.171E+16  8.272E+16  9.975E+16  1.208E+17
  -2.300  5.986E+16  6.863E+16  7.986E+16  9.308E+16  1.118E+17  1.344E+17
  -2.275  6.724E+16  7.717E+16  8.912E+16  1.043E+17  1.243E+17  1.493E+17
  -2.250  7.568E+16  8.666E+16  9.961E+16  1.163E+17  1.379E+17  1.660E+17
