 Output of fluxint20 v.13.01.20
Input NS model file:  dipset01.dat
  KB LAT1 KBB KS  MT   KD thetam   M (MSun)     R (km)  B12(pole)  DeltaM/M   RgR    ZGRAV   GS14     FR      PR
   1  -1   1   1   6   1  0.2618    1.4000   12.6000  3.000E+00  0.000E+00  0.3282  0.2200  1.4284  1.3354  1.4709
lg Teff(inf):
            5.2000     5.3000     5.4000     5.5000     5.6000     5.7000
lg Teff(loc):
            5.2864     5.3864     5.4864     5.5864     5.6864     5.7864
lg Tint(loc):
            6.7442     6.9759     7.1883     7.3943     7.5948     7.7913
  -3.750  7.458E+13  7.166E+13  7.062E+13  9.319E+13  1.148E+14  1.622E+14
  -3.725  8.312E+13  8.040E+13  8.145E+13  1.034E+14  1.364E+14  1.779E+14
  -3.700  9.219E+13  9.022E+13  9.430E+13  1.188E+14  1.604E+14  1.928E+14
  -3.675  1.017E+14  1.015E+14  1.097E+14  1.385E+14  1.847E+14  2.103E+14
  -3.650  1.116E+14  1.145E+14  1.290E+14  1.607E+14  2.086E+14  2.308E+14
  -3.625  1.230E+14  1.298E+14  1.494E+14  1.816E+14  2.288E+14  2.556E+14
  -3.600  1.368E+14  1.472E+14  1.696E+14  1.991E+14  2.520E+14  2.867E+14
  -3.575  1.535E+14  1.657E+14  1.888E+14  2.180E+14  2.853E+14  3.320E+14
  -3.550  1.742E+14  1.843E+14  2.059E+14  2.467E+14  3.237E+14  3.891E+14
  -3.525  1.977E+14  2.048E+14  2.221E+14  2.792E+14  3.579E+14  4.400E+14
  -3.500  2.245E+14  2.286E+14  2.418E+14  3.128E+14  3.865E+14  4.989E+14
  -3.475  2.549E+14  2.555E+14  2.718E+14  3.494E+14  4.216E+14  5.626E+14
  -3.450  2.883E+14  2.851E+14  3.114E+14  3.947E+14  4.768E+14  6.181E+14
  -3.425  3.233E+14  3.179E+14  3.525E+14  4.492E+14  5.502E+14  6.821E+14
  -3.400  3.588E+14  3.528E+14  3.997E+14  5.093E+14  6.282E+14  7.611E+14
  -3.375  3.981E+14  3.993E+14  4.482E+14  5.709E+14  7.143E+14  8.529E+14
  -3.350  4.459E+14  4.531E+14  5.012E+14  6.300E+14  7.972E+14  9.589E+14
