 Output of fluxint20 v.13.01.20
Input NS model file:  dipset02.dat
  KB LAT1 KBB KS  MT   KD thetam   M (MSun)     R (km)  B12(pole)  DeltaM/M   RgR    ZGRAV   GS14     FR      PR
   1  -1   1   1   6   1  1.5708    2.0000   11.4300  3.000E+00  0.000E+00  0.5169  0.4385  2.9241  1.6731  1.9894
lg Teff(inf):
            5.2000     5.3000     5.4000     5.5000     5.6000     5.7000
lg Teff(loc):
            5.3579     5.4579     5.5579     5.6579     5.7579     5.8579
lg Tint(loc):
            6.8155     7.0468     7.2583     7.4634     7.6636     7.8598
  -1.575  6.408E+17  7.601E+17  9.336E+17  1.236E+18  1.675E+18  2.230E+18
  -1.550  6.711E+17  8.046E+17  9.975E+17  1.339E+18  1.833E+18  2.461E+18
  -1.525  6.955E+17  8.446E+17  1.059E+18  1.444E+18  2.000E+18  2.710E+18
  -1.500  7.147E+17  8.794E+17  1.115E+18  1.544E+18  2.168E+18  2.968E+18
  -1.475  7.387E+17  9.187E+17  1.178E+18  1.657E+18  2.350E+18  3.250E+18
  -1.450  7.792E+17  9.731E+17  1.263E+18  1.800E+18  2.577E+18  3.576E+18
  -1.425  8.087E+17  1.020E+18  1.343E+18  1.941E+18  2.815E+18  3.925E+18
  -1.400  8.243E+17  1.057E+18  1.416E+18  2.083E+18  3.060E+18  4.304E+18
  -1.375  8.231E+17  1.077E+18  1.472E+18  2.213E+18  3.305E+18  4.704E+18
  -1.350  7.996E+17  1.068E+18  1.491E+18  2.304E+18  3.520E+18  5.093E+18
  -1.325  7.494E+17  1.021E+18  1.448E+18  2.323E+18  3.668E+18  5.436E+18
  -1.300  6.860E+17  9.539E+17  1.376E+18  2.304E+18  3.783E+18  5.769E+18
  -1.275  6.132E+17  8.755E+17  1.284E+18  2.249E+18  3.863E+18  6.092E+18
  -1.250  5.373E+17  7.900E+17  1.178E+18  2.162E+18  3.903E+18  6.395E+18
  -1.225  4.643E+17  7.058E+17  1.071E+18  2.059E+18  3.916E+18  6.689E+18
  -1.200  4.086E+17  6.498E+17  1.006E+18  2.004E+18  3.962E+18  7.024E+18
  -1.175  4.295E+17  7.163E+17  1.128E+18  2.244E+18  4.382E+18  7.764E+18
  -1.150  5.115E+17  8.631E+17  1.404E+18  2.755E+18  5.286E+18  8.932E+18
  -1.125  6.024E+17  1.022E+18  1.733E+18  3.355E+18  6.190E+18  1.015E+19
  -1.100  6.753E+17  1.150E+18  2.021E+18  3.883E+18  7.000E+18  1.134E+19
  -1.075  6.381E+17  1.105E+18  2.031E+18  4.043E+18  7.432E+18  1.218E+19
  -1.050  5.502E+17  9.902E+17  1.925E+18  4.046E+18  7.709E+18  1.292E+19
  -1.025  4.810E+17  9.150E+17  1.882E+18  4.148E+18  8.127E+18  1.385E+19
  -1.000  4.776E+17  9.527E+17  2.042E+18  4.541E+18  8.951E+18  1.524E+19
  -0.975  5.357E+17  1.100E+18  2.418E+18  5.235E+18  1.002E+19  1.688E+19
  -0.950  6.129E+17  1.331E+18  2.953E+18  6.125E+18  1.131E+19  1.872E+19
  -0.925  7.719E+17  1.682E+18  3.668E+18  7.195E+18  1.273E+19  2.065E+19
  -0.900  9.943E+17  2.081E+18  4.321E+18  8.109E+18  1.394E+19  2.232E+19
  -0.875  1.085E+18  2.423E+18  4.901E+18  8.894E+18  1.496E+19  2.380E+19
  -0.850  1.129E+18  2.704E+18  5.341E+18  9.482E+18  1.577E+19  2.511E+19
  -0.825  1.078E+18  2.771E+18  5.450E+18  9.699E+18  1.621E+19  2.606E+19
  -0.800  8.286E+17  2.466E+18  5.166E+18  9.510E+18  1.625E+19  2.662E+19
  -0.775  4.829E+17  1.889E+18  4.655E+18  8.980E+18  1.594E+19  2.680E+19
  -0.750  1.971E+17  1.330E+18  4.066E+18  8.240E+18  1.528E+19  2.654E+19
  -0.725  7.642E+16  8.851E+17  3.320E+18  7.377E+18  1.439E+19  2.595E+19
  -0.700  7.671E+16  6.387E+17  2.679E+18  6.525E+18  1.347E+19  2.526E+19
  -0.675  8.601E+16  4.939E+17  2.218E+18  5.782E+18  1.262E+19  2.461E+19
  -0.650  7.997E+16  4.444E+17  1.863E+18  5.141E+18  1.182E+19  2.397E+19
  -0.625  7.759E+16  3.974E+17  1.563E+18  4.577E+18  1.107E+19  2.332E+19
  -0.600  6.633E+16  3.220E+17  1.319E+18  4.089E+18  1.037E+19  2.270E+19
  -0.575  5.337E+16  2.608E+17  1.124E+18  3.675E+18  9.746E+18  2.210E+19
  -0.550  4.209E+16  2.122E+17  9.649E+17  3.316E+18  9.168E+18  2.150E+19
  -0.525  3.259E+16  1.727E+17  8.282E+17  2.990E+18  8.608E+18  2.087E+19
  -0.500  2.481E+16  1.396E+17  7.090E+17  2.688E+18  8.052E+18  2.017E+19
  -0.475  1.855E+16  1.115E+17  6.020E+17  2.400E+18  7.484E+18  1.937E+19
  -0.450  1.365E+16  8.822E+16  5.072E+17  2.129E+18  6.911E+18  1.850E+19
  -0.425  9.889E+15  6.905E+16  4.236E+17  1.872E+18  6.336E+18  1.755E+19
  -0.400  7.064E+15  5.351E+16  3.508E+17  1.634E+18  5.767E+18  1.654E+19
  -0.375  4.983E+15  4.110E+16  2.883E+17  1.416E+18  5.210E+18  1.548E+19
  -0.350  3.477E+15  3.131E+16  2.349E+17  1.216E+18  4.669E+18  1.438E+19
  -0.325  2.403E+15  2.366E+16  1.899E+17  1.036E+18  4.152E+18  1.326E+19
  -0.300  1.651E+15  1.778E+16  1.525E+17  8.764E+17  3.664E+18  1.214E+19
  -0.275  1.131E+15  1.331E+16  1.216E+17  7.354E+17  3.210E+18  1.103E+19
  -0.250  7.729E+14  9.905E+15  9.630E+16  6.121E+17  2.789E+18  9.944E+18
  -0.225  5.290E+14  7.338E+15  7.573E+16  5.058E+17  2.404E+18  8.901E+18
  -0.200  3.637E+14  5.418E+15  5.908E+16  4.145E+17  2.055E+18  7.905E+18
  -0.175  2.505E+14  3.977E+15  4.564E+16  3.359E+17  1.740E+18  6.959E+18
  -0.150  1.728E+14  2.901E+15  3.494E+16  2.693E+17  1.460E+18  6.075E+18
  -0.125  1.191E+14  2.100E+15  2.650E+16  2.138E+17  1.213E+18  5.257E+18
  -0.100  8.162E+13  1.507E+15  1.988E+16  1.680E+17  9.977E+17  4.508E+18
  -0.075  5.550E+13  1.068E+15  1.476E+16  1.305E+17  8.112E+17  3.828E+18
  -0.050  3.724E+13  7.472E+14  1.082E+16  1.002E+17  6.526E+17  3.218E+18
  -0.025  2.455E+13  5.150E+14  7.833E+15  7.607E+16  5.194E+17  2.677E+18
   0.000  1.586E+13  3.490E+14  5.581E+15  5.703E+16  4.088E+17  2.204E+18
   0.025  1.001E+13  2.318E+14  3.918E+15  4.220E+16  3.179E+17  1.795E+18
   0.050  6.178E+12  1.510E+14  2.706E+15  3.081E+16  2.442E+17  1.446E+18
   0.075  3.715E+12  9.649E+13  1.836E+15  2.217E+16  1.852E+17  1.153E+18
   0.100  2.171E+12  6.029E+13  1.222E+15  1.568E+16  1.386E+17  9.075E+17
   0.125  1.232E+12  3.670E+13  7.968E+14  1.091E+16  1.023E+17  7.056E+17
   0.150  6.796E+11  2.188E+13  5.105E+14  7.478E+15  7.445E+16  5.416E+17
   0.175  3.650E+11  1.274E+13  3.206E+14  5.035E+15  5.337E+16  4.105E+17
   0.200  1.900E+11  7.224E+12  1.967E+14  3.323E+15  3.762E+16  3.067E+17
   0.225  9.577E+10  3.985E+12  1.181E+14  2.152E+15  2.609E+16  2.259E+17
   0.250  4.685E+10  2.141E+12  6.929E+13  1.366E+15  1.777E+16  1.637E+17
   0.275  2.221E+10  1.116E+12  3.966E+13  8.496E+14  1.188E+16  1.167E+17
   0.300  1.018E+10  5.657E+11  2.214E+13  5.171E+14  7.797E+15  8.185E+16
   0.325  4.511E+09  2.784E+11  1.204E+13  3.074E+14  5.014E+15  5.636E+16
   0.350  1.938E+09  1.329E+11  6.373E+12  1.783E+14  3.156E+15  3.813E+16
   0.375  8.071E+08  6.148E+10  3.278E+12  1.009E+14  1.939E+15  2.523E+16
   0.400  3.245E+08  2.760E+10  1.636E+12  5.562E+13  1.165E+15  1.635E+16
   0.425  1.264E+08  1.202E+10  7.932E+11  2.978E+13  6.827E+14  1.036E+16
   0.450  4.799E+07  5.092E+09  3.740E+11  1.552E+13  3.898E+14  6.403E+15
   0.475  1.785E+07  2.105E+09  1.709E+11  7.853E+12  2.166E+14  3.858E+15
