 Output of fluxint20 v.13.01.20
Input NS model file:  dipset02.dat
  KB LAT1 KBB KS  MT   KD thetam   M (MSun)     R (km)  B12(pole)  DeltaM/M   RgR    ZGRAV   GS14     FR      PR
   1  -1   1   1   6   1  0.7854    2.0000   11.4300  3.000E+00  0.000E+00  0.5169  0.4385  2.9241  1.6731  1.9894
lg Teff(inf):
            5.2000     5.3000     5.4000     5.5000     5.6000     5.7000
lg Teff(loc):
            5.3579     5.4579     5.5579     5.6579     5.7579     5.8579
lg Tint(loc):
            6.8155     7.0468     7.2583     7.4634     7.6636     7.8598
  -3.075  1.646E+15  1.915E+15  2.258E+15  2.690E+15  3.231E+15  4.119E+15
  -3.050  1.858E+15  2.163E+15  2.552E+15  2.983E+15  3.650E+15  4.612E+15
  -3.025  2.098E+15  2.392E+15  2.837E+15  3.367E+15  4.094E+15  5.122E+15
  -3.000  2.319E+15  2.659E+15  3.103E+15  3.774E+15  4.490E+15  5.660E+15
  -2.975  2.558E+15  2.952E+15  3.435E+15  4.202E+15  4.957E+15  6.371E+15
  -2.950  2.869E+15  3.275E+15  3.855E+15  4.691E+15  5.633E+15  7.149E+15
  -2.925  3.240E+15  3.695E+15  4.304E+15  5.280E+15  6.358E+15  7.898E+15
  -2.900  3.657E+15  4.203E+15  4.788E+15  5.940E+15  7.109E+15  8.672E+15
  -2.875  4.158E+15  4.754E+15  5.342E+15  6.637E+15  7.965E+15  9.639E+15
  -2.850  4.711E+15  5.352E+15  6.009E+15  7.407E+15  8.947E+15  1.078E+16
  -2.825  5.275E+15  6.018E+15  6.837E+15  8.317E+15  1.005E+16  1.203E+16
  -2.800  5.845E+15  6.753E+15  7.801E+15  9.386E+15  1.125E+16  1.328E+16
  -2.775  6.496E+15  7.563E+15  8.847E+15  1.056E+16  1.262E+16  1.465E+16
  -2.750  7.280E+15  8.448E+15  9.942E+15  1.183E+16  1.416E+16  1.628E+16
  -2.725  8.214E+15  9.422E+15  1.111E+16  1.322E+16  1.591E+16  1.831E+16
  -2.700  9.290E+15  1.053E+16  1.241E+16  1.472E+16  1.784E+16  2.085E+16
  -2.675  1.048E+16  1.184E+16  1.389E+16  1.638E+16  1.992E+16  2.390E+16
  -2.650  1.175E+16  1.338E+16  1.560E+16  1.828E+16  2.222E+16  2.732E+16
  -2.625  1.316E+16  1.511E+16  1.748E+16  2.053E+16  2.487E+16  3.092E+16
  -2.600  1.478E+16  1.698E+16  1.952E+16  2.319E+16  2.804E+16  3.462E+16
  -2.575  1.661E+16  1.897E+16  2.182E+16  2.618E+16  3.177E+16  3.851E+16
  -2.550  1.866E+16  2.116E+16  2.453E+16  2.946E+16  3.594E+16  4.282E+16
  -2.525  2.095E+16  2.369E+16  2.775E+16  3.317E+16  4.036E+16  4.775E+16
  -2.500  2.350E+16  2.667E+16  3.139E+16  3.750E+16  4.494E+16  5.341E+16
  -2.475  2.639E+16  3.004E+16  3.531E+16  4.249E+16  4.989E+16  5.983E+16
  -2.450  2.969E+16  3.380E+16  3.959E+16  4.785E+16  5.552E+16  6.707E+16
  -2.425  3.337E+16  3.798E+16  4.439E+16  5.341E+16  6.202E+16  7.527E+16
  -2.400  3.747E+16  4.269E+16  5.000E+16  5.921E+16  6.951E+16  8.456E+16
  -2.375  4.206E+16  4.800E+16  5.646E+16  6.564E+16  7.808E+16  9.509E+16
  -2.350  4.721E+16  5.394E+16  6.354E+16  7.314E+16  8.778E+16  1.069E+17
  -2.325  5.299E+16  6.063E+16  7.104E+16  8.199E+16  9.859E+16  1.196E+17
  -2.300  5.948E+16  6.816E+16  7.920E+16  9.211E+16  1.106E+17  1.329E+17
  -2.275  6.682E+16  7.657E+16  8.834E+16  1.033E+17  1.229E+17  1.476E+17
  -2.250  7.515E+16  8.592E+16  9.857E+16  1.152E+17  1.363E+17  1.641E+17
  -2.225  8.448E+16  9.611E+16  1.099E+17  1.281E+17  1.515E+17  1.823E+17
  -2.200  9.475E+16  1.071E+17  1.223E+17  1.421E+17  1.683E+17  2.023E+17
  -2.175  1.058E+17  1.190E+17  1.353E+17  1.576E+17  1.865E+17  2.242E+17
  -2.150  1.177E+17  1.319E+17  1.500E+17  1.746E+17  2.066E+17  2.481E+17
  -2.125  1.306E+17  1.459E+17  1.659E+17  1.931E+17  2.284E+17  2.743E+17
  -2.100  1.443E+17  1.610E+17  1.832E+17  2.132E+17  2.520E+17  3.028E+17
  -2.075  1.587E+17  1.772E+17  2.017E+17  2.347E+17  2.770E+17  3.330E+17
  -2.050  1.735E+17  1.937E+17  2.207E+17  2.570E+17  3.041E+17  3.660E+17
  -2.025  1.885E+17  2.107E+17  2.401E+17  2.798E+17  3.323E+17  4.008E+17
  -2.000  2.038E+17  2.281E+17  2.601E+17  3.035E+17  3.618E+17  4.377E+17
  -1.975  2.202E+17  2.472E+17  2.819E+17  3.291E+17  3.938E+17  4.780E+17
  -1.950  2.367E+17  2.667E+17  3.040E+17  3.555E+17  4.273E+17  5.208E+17
  -1.925  2.481E+17  2.808E+17  3.200E+17  3.753E+17  4.528E+17  5.548E+17
  -1.900  2.639E+17  2.988E+17  3.403E+17  4.009E+17  4.863E+17  5.993E+17
  -1.875  2.837E+17  3.200E+17  3.657E+17  4.329E+17  5.288E+17  6.533E+17
  -1.850  3.047E+17  3.428E+17  3.944E+17  4.699E+17  5.785E+17  7.167E+17
  -1.825  3.265E+17  3.668E+17  4.244E+17  5.097E+17  6.331E+17  7.881E+17
  -1.800  3.549E+17  3.994E+17  4.595E+17  5.552E+17  6.949E+17  8.693E+17
  -1.775  3.861E+17  4.354E+17  5.024E+17  6.097E+17  7.670E+17  9.634E+17
  -1.750  4.182E+17  4.731E+17  5.485E+17  6.696E+17  8.467E+17  1.068E+18
  -1.725  4.568E+17  5.197E+17  6.065E+17  7.454E+17  9.486E+17  1.203E+18
  -1.700  5.070E+17  5.810E+17  6.834E+17  8.463E+17  1.084E+18  1.383E+18
  -1.675  5.450E+17  6.286E+17  7.461E+17  9.322E+17  1.203E+18  1.543E+18
  -1.650  5.815E+17  6.745E+17  8.075E+17  1.020E+18  1.328E+18  1.715E+18
  -1.625  6.158E+17  7.181E+17  8.674E+17  1.109E+18  1.458E+18  1.896E+18
  -1.600  6.508E+17  7.632E+17  9.305E+17  1.205E+18  1.602E+18  2.097E+18
  -1.575  6.898E+17  8.158E+17  1.004E+18  1.316E+18  1.765E+18  2.326E+18
  -1.550  7.256E+17  8.671E+17  1.078E+18  1.431E+18  1.937E+18  2.572E+18
  -1.525  7.562E+17  9.147E+17  1.151E+18  1.549E+18  2.119E+18  2.836E+18
  -1.500  7.821E+17  9.575E+17  1.218E+18  1.664E+18  2.304E+18  3.110E+18
  -1.475  8.121E+17  1.005E+18  1.294E+18  1.796E+18  2.506E+18  3.412E+18
  -1.450  8.566E+17  1.066E+18  1.391E+18  1.956E+18  2.756E+18  3.766E+18
  -1.425  8.917E+17  1.121E+18  1.483E+18  2.115E+18  3.017E+18  4.147E+18
  -1.400  9.166E+17  1.171E+18  1.574E+18  2.278E+18  3.286E+18  4.552E+18
  -1.375  9.248E+17  1.205E+18  1.652E+18  2.434E+18  3.558E+18  4.979E+18
  -1.350  9.060E+17  1.207E+18  1.690E+18  2.557E+18  3.811E+18  5.407E+18
  -1.325  8.531E+17  1.163E+18  1.661E+18  2.609E+18  4.006E+18  5.798E+18
  -1.300  7.832E+17  1.093E+18  1.598E+18  2.623E+18  4.172E+18  6.186E+18
  -1.275  7.000E+17  1.005E+18  1.507E+18  2.597E+18  4.308E+18  6.571E+18
  -1.250  6.093E+17  9.059E+17  1.393E+18  2.533E+18  4.406E+18  6.946E+18
  -1.225  5.187E+17  8.037E+17  1.269E+18  2.444E+18  4.480E+18  7.326E+18
  -1.200  4.467E+17  7.300E+17  1.181E+18  2.395E+18  4.579E+18  7.756E+18
  -1.175  4.624E+17  7.891E+17  1.296E+18  2.651E+18  5.055E+18  8.594E+18
  -1.150  5.618E+17  9.587E+17  1.612E+18  3.203E+18  6.009E+18  9.854E+18
  -1.125  7.033E+17  1.184E+18  2.039E+18  3.887E+18  6.970E+18  1.115E+19
  -1.100  8.302E+17  1.393E+18  2.437E+18  4.513E+18  7.846E+18  1.240E+19
  -1.075  8.124E+17  1.378E+18  2.500E+18  4.735E+18  8.340E+18  1.333E+19
  -1.050  7.199E+17  1.262E+18  2.411E+18  4.786E+18  8.700E+18  1.418E+19
  -1.025  6.412E+17  1.184E+18  2.390E+18  4.956E+18  9.236E+18  1.529E+19
  -1.000  6.399E+17  1.239E+18  2.596E+18  5.454E+18  1.024E+19  1.691E+19
  -0.975  7.173E+17  1.431E+18  3.050E+18  6.263E+18  1.145E+19  1.871E+19
  -0.950  8.182E+17  1.716E+18  3.647E+18  7.196E+18  1.275E+19  2.056E+19
  -0.925  9.875E+17  2.106E+18  4.385E+18  8.224E+18  1.408E+19  2.240E+19
  -0.900  1.167E+18  2.489E+18  4.991E+18  9.028E+18  1.516E+19  2.399E+19
