 Output of fluxint20 v.13.01.20
Input NS model file:  dipset01.dat
  KB LAT1 KBB KS  MT   KD thetam   M (MSun)     R (km)  B12(pole)  DeltaM/M   RgR    ZGRAV   GS14     FR      PR
   1  -1   1   1   6   1  0.5236    1.4000   12.6000  3.000E+00  0.000E+00  0.3282  0.2200  1.4284  1.3354  1.4709
lg Teff(inf):
            5.2000     5.3000     5.4000     5.5000     5.6000     5.7000
lg Teff(loc):
            5.2864     5.3864     5.4864     5.5864     5.6864     5.7864
lg Tint(loc):
            6.7442     6.9759     7.1883     7.3943     7.5948     7.7913
  -3.750  7.333E+13  7.047E+13  7.007E+13  9.265E+13  1.137E+14  1.572E+14
  -3.725  8.186E+13  7.914E+13  8.047E+13  1.026E+14  1.335E+14  1.726E+14
  -3.700  9.100E+13  8.869E+13  9.308E+13  1.165E+14  1.556E+14  1.866E+14
  -3.675  1.006E+14  9.956E+13  1.080E+14  1.347E+14  1.787E+14  2.020E+14
  -3.650  1.109E+14  1.121E+14  1.259E+14  1.556E+14  2.020E+14  2.211E+14
  -3.625  1.224E+14  1.264E+14  1.453E+14  1.752E+14  2.224E+14  2.458E+14
  -3.600  1.357E+14  1.425E+14  1.649E+14  1.923E+14  2.449E+14  2.796E+14
  -3.575  1.516E+14  1.598E+14  1.834E+14  2.106E+14  2.747E+14  3.246E+14
  -3.550  1.718E+14  1.782E+14  1.997E+14  2.372E+14  3.095E+14  3.766E+14
  -3.525  1.951E+14  1.994E+14  2.165E+14  2.687E+14  3.417E+14  4.248E+14
  -3.500  2.219E+14  2.242E+14  2.385E+14  3.035E+14  3.740E+14  4.827E+14
  -3.475  2.519E+14  2.519E+14  2.689E+14  3.431E+14  4.155E+14  5.456E+14
  -3.450  2.849E+14  2.811E+14  3.068E+14  3.878E+14  4.725E+14  5.977E+14
  -3.425  3.193E+14  3.114E+14  3.463E+14  4.357E+14  5.393E+14  6.509E+14
  -3.400  3.541E+14  3.441E+14  3.901E+14  4.867E+14  6.042E+14  7.249E+14
  -3.375  3.923E+14  3.884E+14  4.356E+14  5.432E+14  6.817E+14  8.241E+14
  -3.350  4.391E+14  4.427E+14  4.899E+14  6.090E+14  7.678E+14  9.338E+14
  -3.325  4.950E+14  5.012E+14  5.561E+14  6.806E+14  8.576E+14  1.041E+15
  -3.300  5.563E+14  5.607E+14  6.214E+14  7.613E+14  9.567E+14  1.165E+15
  -3.275  6.221E+14  6.290E+14  6.909E+14  8.578E+14  1.057E+15  1.303E+15
  -3.250  6.977E+14  7.047E+14  7.802E+14  9.669E+14  1.187E+15  1.472E+15
  -3.225  7.848E+14  7.890E+14  8.920E+14  1.088E+15  1.344E+15  1.666E+15
  -3.200  8.797E+14  8.880E+14  1.005E+15  1.218E+15  1.498E+15  1.869E+15
  -3.175  9.820E+14  1.009E+15  1.120E+15  1.360E+15  1.683E+15  2.091E+15
  -3.150  1.103E+15  1.140E+15  1.259E+15  1.533E+15  1.896E+15  2.341E+15
  -3.125  1.239E+15  1.269E+15  1.411E+15  1.737E+15  2.138E+15  2.622E+15
  -3.100  1.388E+15  1.424E+15  1.599E+15  1.974E+15  2.381E+15  2.973E+15
  -3.075  1.558E+15  1.606E+15  1.808E+15  2.217E+15  2.618E+15  3.295E+15
  -3.050  1.758E+15  1.799E+15  2.002E+15  2.424E+15  2.891E+15  3.566E+15
  -3.025  1.962E+15  2.042E+15  2.239E+15  2.707E+15  3.266E+15  3.839E+15
  -3.000  2.201E+15  2.319E+15  2.526E+15  3.071E+15  3.763E+15  4.192E+15
  -2.975  2.488E+15  2.617E+15  2.857E+15  3.507E+15  4.329E+15  4.702E+15
  -2.950  2.814E+15  2.942E+15  3.225E+15  4.010E+15  4.923E+15  5.412E+15
  -2.925  3.168E+15  3.324E+15  3.629E+15  4.571E+15  5.533E+15  6.313E+15
  -2.900  3.576E+15  3.780E+15  4.071E+15  5.187E+15  6.170E+15  7.353E+15
  -2.875  4.033E+15  4.299E+15  4.604E+15  5.851E+15  6.846E+15  8.480E+15
  -2.850  4.530E+15  4.872E+15  5.238E+15  6.558E+15  7.590E+15  9.670E+15
  -2.825  5.079E+15  5.501E+15  5.963E+15  7.345E+15  8.454E+15  1.091E+16
  -2.800  5.711E+15  6.184E+15  6.777E+15  8.298E+15  9.498E+15  1.222E+16
  -2.775  6.433E+15  6.934E+15  7.692E+15  9.393E+15  1.076E+16  1.367E+16
  -2.750  7.228E+15  7.800E+15  8.717E+15  1.062E+16  1.222E+16  1.537E+16
