 Output of fluxint20 v.19.02.20
Input NS model file:  dipset02.dat
  KB LAT1 KBB KS  MT   KD thetam   M (MSun)     R (km)  B12(pole)  DeltaM/M   RgR    ZGRAV   GS14     FR      PR
   1  -1   1   1   6   1  0.0000    2.0000   11.4300  3.000E+00  0.000E+00  0.5169  0.4385  2.9241  1.6731  1.9894
lg Teff(inf):
            5.2000     5.3000     5.4000     5.5000     5.6000     5.7000
lg Teff(loc):
            5.3579     5.4579     5.5579     5.6579     5.7579     5.8579
lg Tint(loc):
            6.8155     7.0468     7.2583     7.4634     7.6636     7.8598
  -3.075  1.734E+15  2.021E+15  2.450E+15  2.924E+15  3.433E+15  4.518E+15
  -3.050  1.950E+15  2.290E+15  2.789E+15  3.269E+15  3.878E+15  5.074E+15
  -3.025  2.210E+15  2.524E+15  3.077E+15  3.666E+15  4.382E+15  5.567E+15
  -3.000  2.407E+15  2.817E+15  3.317E+15  4.059E+15  4.840E+15  6.123E+15
  -2.975  2.610E+15  3.114E+15  3.647E+15  4.485E+15  5.356E+15  6.929E+15
  -2.950  2.942E+15  3.418E+15  4.068E+15  5.043E+15  6.131E+15  7.742E+15
  -2.925  3.341E+15  3.868E+15  4.479E+15  5.734E+15  6.883E+15  8.415E+15
  -2.900  3.767E+15  4.416E+15  4.893E+15  6.471E+15  7.614E+15  9.192E+15
  -2.875  4.314E+15  4.942E+15  5.428E+15  7.249E+15  8.492E+15  1.036E+16
  -2.850  4.905E+15  5.521E+15  6.203E+15  8.093E+15  9.552E+15  1.159E+16
  -2.825  5.437E+15  6.225E+15  7.189E+15  9.032E+15  1.077E+16  1.273E+16
  -2.800  5.906E+15  7.033E+15  8.245E+15  1.012E+16  1.212E+16  1.389E+16
  -2.775  6.510E+15  7.873E+15  9.291E+15  1.139E+16  1.362E+16  1.522E+16
  -2.750  7.339E+15  8.705E+15  1.034E+16  1.274E+16  1.529E+16  1.673E+16
  -2.725  8.371E+15  9.604E+15  1.147E+16  1.406E+16  1.713E+16  1.862E+16
  -2.700  9.518E+15  1.069E+16  1.283E+16  1.538E+16  1.912E+16  2.120E+16
  -2.675  1.070E+16  1.204E+16  1.446E+16  1.688E+16  2.118E+16  2.435E+16
  -2.650  1.188E+16  1.368E+16  1.625E+16  1.874E+16  2.332E+16  2.786E+16
  -2.625  1.322E+16  1.548E+16  1.794E+16  2.107E+16  2.570E+16  3.161E+16
  -2.600  1.485E+16  1.730E+16  1.973E+16  2.384E+16  2.880E+16  3.562E+16
  -2.575  1.677E+16  1.918E+16  2.196E+16  2.690E+16  3.268E+16  3.993E+16
  -2.550  1.889E+16  2.128E+16  2.485E+16  3.025E+16  3.700E+16  4.452E+16
  -2.525  2.115E+16  2.385E+16  2.838E+16  3.394E+16  4.157E+16  4.939E+16
  -2.500  2.366E+16  2.689E+16  3.227E+16  3.827E+16  4.628E+16  5.463E+16
  -2.475  2.654E+16  3.031E+16  3.625E+16  4.353E+16  5.111E+16  6.062E+16
  -2.450  2.984E+16  3.413E+16  4.037E+16  4.927E+16  5.633E+16  6.776E+16
  -2.425  3.356E+16  3.839E+16  4.495E+16  5.495E+16  6.251E+16  7.614E+16
  -2.400  3.768E+16  4.318E+16  5.060E+16  6.044E+16  7.014E+16  8.573E+16
  -2.375  4.232E+16  4.856E+16  5.732E+16  6.634E+16  7.909E+16  9.663E+16
  -2.350  4.753E+16  5.456E+16  6.461E+16  7.359E+16  8.914E+16  1.087E+17
  -2.325  5.334E+16  6.129E+16  7.220E+16  8.284E+16  1.004E+17  1.217E+17
  -2.300  5.986E+16  6.890E+16  8.027E+16  9.354E+16  1.127E+17  1.354E+17
  -2.275  6.731E+16  7.749E+16  8.935E+16  1.050E+17  1.251E+17  1.507E+17
  -2.250  7.585E+16  8.709E+16  9.998E+16  1.171E+17  1.389E+17  1.676E+17
  -2.225  8.538E+16  9.737E+16  1.117E+17  1.300E+17  1.544E+17  1.862E+17
  -2.200  9.577E+16  1.084E+17  1.239E+17  1.444E+17  1.715E+17  2.067E+17
  -2.175  1.069E+17  1.205E+17  1.373E+17  1.603E+17  1.902E+17  2.291E+17
  -2.150  1.188E+17  1.337E+17  1.523E+17  1.777E+17  2.108E+17  2.536E+17
  -2.125  1.318E+17  1.481E+17  1.686E+17  1.967E+17  2.332E+17  2.804E+17
  -2.100  1.459E+17  1.636E+17  1.863E+17  2.173E+17  2.574E+17  3.095E+17
  -2.075  1.610E+17  1.801E+17  2.052E+17  2.393E+17  2.830E+17  3.404E+17
  -2.050  1.762E+17  1.971E+17  2.247E+17  2.622E+17  3.108E+17  3.740E+17
  -2.025  1.915E+17  2.145E+17  2.447E+17  2.857E+17  3.396E+17  4.093E+17
  -2.000  2.072E+17  2.323E+17  2.652E+17  3.101E+17  3.696E+17  4.464E+17
  -1.975  2.240E+17  2.518E+17  2.876E+17  3.364E+17  4.019E+17  4.868E+17
  -1.950  2.407E+17  2.719E+17  3.104E+17  3.633E+17  4.355E+17  5.294E+17
  -1.925  2.524E+17  2.865E+17  3.269E+17  3.832E+17  4.610E+17  5.633E+17
  -1.900  2.683E+17  3.047E+17  3.475E+17  4.087E+17  4.941E+17  6.073E+17
  -1.875  2.883E+17  3.262E+17  3.732E+17  4.405E+17  5.364E+17  6.614E+17
  -1.850  3.100E+17  3.494E+17  4.022E+17  4.773E+17  5.863E+17  7.261E+17
  -1.825  3.335E+17  3.756E+17  4.335E+17  5.182E+17  6.426E+17  8.005E+17
  -1.800  3.631E+17  4.095E+17  4.709E+17  5.662E+17  7.071E+17  8.846E+17
  -1.775  3.943E+17  4.456E+17  5.140E+17  6.209E+17  7.791E+17  9.784E+17
  -1.750  4.266E+17  4.840E+17  5.611E+17  6.814E+17  8.581E+17  1.082E+18
  -1.725  4.658E+17  5.315E+17  6.200E+17  7.572E+17  9.594E+17  1.217E+18
  -1.700  5.169E+17  5.938E+17  6.985E+17  8.604E+17  1.097E+18  1.398E+18
  -1.675  5.556E+17  6.420E+17  7.616E+17  9.467E+17  1.217E+18  1.560E+18
  -1.650  5.931E+17  6.890E+17  8.242E+17  1.036E+18  1.343E+18  1.733E+18
  -1.625  6.289E+17  7.343E+17  8.862E+17  1.127E+18  1.476E+18  1.918E+18
  -1.600  6.656E+17  7.813E+17  9.521E+17  1.225E+18  1.624E+18  2.123E+18
  -1.575  7.065E+17  8.362E+17  1.029E+18  1.340E+18  1.790E+18  2.355E+18
  -1.550  7.445E+17  8.901E+17  1.106E+18  1.459E+18  1.967E+18  2.607E+18
  -1.525  7.773E+17  9.402E+17  1.182E+18  1.582E+18  2.153E+18  2.876E+18
  -1.500  8.054E+17  9.855E+17  1.253E+18  1.702E+18  2.344E+18  3.157E+18
  -1.475  8.385E+17  1.036E+18  1.334E+18  1.838E+18  2.551E+18  3.461E+18
  -1.450  8.857E+17  1.100E+18  1.436E+18  2.003E+18  2.804E+18  3.819E+18
  -1.425  9.238E+17  1.160E+18  1.534E+18  2.169E+18  3.072E+18  4.210E+18
  -1.400  9.511E+17  1.213E+18  1.631E+18  2.341E+18  3.353E+18  4.631E+18
  -1.375  9.623E+17  1.250E+18  1.715E+18  2.506E+18  3.637E+18  5.069E+18
  -1.350  9.494E+17  1.258E+18  1.760E+18  2.632E+18  3.889E+18  5.491E+18
  -1.325  9.009E+17  1.217E+18  1.737E+18  2.693E+18  4.091E+18  5.888E+18
  -1.300  8.344E+17  1.151E+18  1.681E+18  2.721E+18  4.272E+18  6.286E+18
  -1.275  7.542E+17  1.068E+18  1.598E+18  2.713E+18  4.426E+18  6.683E+18
  -1.250  6.641E+17  9.724E+17  1.491E+18  2.668E+18  4.548E+18  7.073E+18
  -1.225  5.706E+17  8.718E+17  1.374E+18  2.602E+18  4.652E+18  7.472E+18
  -1.200  4.919E+17  7.963E+17  1.291E+18  2.576E+18  4.785E+18  7.928E+18
  -1.175  4.993E+17  8.480E+17  1.406E+18  2.853E+18  5.300E+18  8.814E+18
  -1.150  5.916E+17  1.011E+18  1.723E+18  3.419E+18  6.289E+18  1.016E+19
  -1.125  7.310E+17  1.245E+18  2.174E+18  4.132E+18  7.304E+18  1.158E+19
  -1.100  8.763E+17  1.484E+18  2.611E+18  4.781E+18  8.208E+18  1.289E+19
  -1.075  8.714E+17  1.483E+18  2.694E+18  5.023E+18  8.736E+18  1.389E+19
  -1.050  7.778E+17  1.366E+18  2.613E+18  5.096E+18  9.141E+18  1.482E+19
  -1.025  6.966E+17  1.291E+18  2.610E+18  5.316E+18  9.771E+18  1.607E+19
  -1.000  7.041E+17  1.367E+18  2.873E+18  5.931E+18  1.097E+19  1.797E+19
  -0.975  8.079E+17  1.618E+18  3.451E+18  6.956E+18  1.248E+19  2.015E+19
  -0.950  9.597E+17  2.014E+18  4.240E+18  8.165E+18  1.413E+19  2.238E+19
  -0.925  1.247E+18  2.574E+18  5.179E+18  9.435E+18  1.573E+19  2.453E+19
  -0.900  1.584E+18  3.161E+18  6.018E+18  1.049E+19  1.709E+19  2.643E+19
  -0.875  1.716E+18  3.561E+18  6.593E+18  1.122E+19  1.810E+19  2.803E+19
  -0.850  1.627E+18  3.681E+18  6.816E+18  1.160E+19  1.880E+19  2.940E+19
  -0.825  1.338E+18  3.474E+18  6.689E+18  1.163E+19  1.920E+19  3.050E+19
  -0.800  8.584E+17  2.967E+18  6.260E+18  1.137E+19  1.929E+19  3.129E+19
  -0.775  4.140E+17  2.126E+18  5.636E+18  1.088E+19  1.911E+19  3.178E+19
  -0.750  1.716E+17  1.230E+18  4.846E+18  1.011E+19  1.855E+19  3.182E+19
  -0.725  9.664E+16  6.846E+17  3.998E+18  9.098E+18  1.765E+19  3.144E+19
  -0.700  9.003E+16  5.506E+17  3.248E+18  8.079E+18  1.664E+19  3.088E+19
  -0.675  1.041E+17  5.714E+17  2.691E+18  7.182E+18  1.568E+19  3.028E+19
  -0.650  1.057E+17  5.618E+17  2.262E+18  6.393E+18  1.473E+19  2.963E+19
  -0.625  9.789E+16  4.729E+17  1.920E+18  5.734E+18  1.388E+19  2.902E+19
  -0.600  8.463E+16  3.924E+17  1.651E+18  5.193E+18  1.314E+19  2.848E+19
  -0.575  6.998E+16  3.271E+17  1.435E+18  4.735E+18  1.250E+19  2.800E+19
  -0.550  5.603E+16  2.719E+17  1.252E+18  4.332E+18  1.189E+19  2.752E+19
  -0.525  4.398E+16  2.242E+17  1.089E+18  3.953E+18  1.129E+19  2.696E+19
